0	4	3	4	3	3	4	3	3	3	2	3	3	2	3	3	2	2	2	3	3	4	2	4	4	4	5	4	3	4	3	3	2	2	3	3	1	1	2	3	2	2	3	2	2	1	2	0
4	3	3	3	3	4	2	3	4	4	4	5	3	4	4	4	3	3	3	3	3	4	3	5	2	4	3	3	3	3	4	2	3	5	4	3	4	1	3	4	4	4	4	4	4	4	2	4
5	2	3	4	5	3	3	4	4	3	4	3	6	7	16	16	13	18	14	6	3	4	4	5	4	6	5	3	4	4	4	2	4	6	4	4	4	5	4	5	5	5	5	4	3	3	4	3
4	5	3	4	0	0	1	0	1	1	1	2	3	13	23	27	18	20	26	16	6	2	0	1	0	0	0	0	1	0	0	0	1	2	9	9	2	4	7	7	4	7	10	7	10	10	3	3
3	5	4	0	0	0	1	1	4	17	16	17	9	17	22	20	19	23	29	29	15	3	1	0	0	0	0	0	0	2	5	3	5	22	42	32	20	22	34	32	26	39	31	30	10	11	9	4
2	2	3	2	1	1	1	3	22	48	36	18	17	21	18	17	27	28	33	26	23	5	1	0	1	0	0	0	2	8	41	25	29	52	45	30	28	36	37	30	45	51	35	41	34	15	7	2
4	4	4	0	1	1	1	4	32	44	31	20	20	19	17	21	37	34	25	26	30	10	0	0	1	1	0	1	8	68	75	57	54	52	43	32	19	22	26	27	49	68	51	37	35	24	8	5
4	4	3	1	1	1	2	1	8	20	24	22	27	22	23	31	33	32	24	30	27	9	0	1	1	0	1	6	38	69	60	41	43	43	34	23	20	25	29	26	51	66	47	34	37	23	6	3
5	3	3	0	1	1	4	8	18	20	27	26	25	25	22	28	28	30	29	35	38	7	1	0	0	0	1	14	50	62	44	31	33	35	25	18	17	22	30	35	56	77	55	35	44	21	5	3
3	4	4	0	2	8	16	24	27	26	27	29	25	19	29	34	23	25	29	35	20	4	1	1	1	1	4	28	50	53	51	39	29	27	27	28	21	24	36	42	50	56	66	62	59	23	6	5
5	3	3	2	12	23	23	21	21	23	25	30	30	24	32	31	24	24	27	28	7	1	1	14	20	13	21	39	48	53	57	40	28	23	25	31	22	26	36	42	44	38	41	41	25	7	5	4
4	3	4	11	28	32	26	22	20	30	27	29	34	39	41	30	33	29	24	24	11	1	6	46	71	51	57	54	65	61	45	41	45	37	26	22	26	36	46	36	31	24	24	26	18	4	5	3
4	2	5	12	27	31	26	21	18	22	19	22	34	42	42	40	31	29	24	22	22	3	9	47	64	57	53	47	53	58	40	40	65	53	30	26	36	38	34	26	23	23	32	41	31	8	4	4
3	2	5	5	19	27	26	20	19	21	25	24	32	37	37	31	30	30	26	17	17	1	9	35	43	49	48	43	44	50	51	45	58	56	35	38	45	30	27	27	32	41	47	41	31	9	3	4
5	5	5	3	19	26	24	15	19	27	23	21	28	28	31	27	29	26	13	10	5	1	8	28	36	45	47	41	42	44	47	41	49	57	49	40	35	26	28	41	41	50	45	38	19	4	4	4
3	5	8	16	31	23	15	15	20	26	23	27	22	29	32	32	33	21	8	1	0	1	7	23	42	48	38	35	39	42	42	40	41	47	35	27	20	19	30	35	39	37	35	20	4	2	4	4
5	4	17	34	34	25	17	20	20	23	29	27	24	27	22	21	21	20	8	0	2	8	17	32	42	55	49	45	48	50	53	41	49	40	33	26	20	16	19	24	29	36	19	4	0	2	3	6
3	4	18	36	28	19	17	18	17	24	26	22	29	23	23	19	20	20	9	1	5	25	40	35	43	51	57	59	52	59	56	54	48	42	33	31	32	22	18	24	27	34	17	3	1	2	4	3
3	2	15	29	34	25	16	12	15	23	18	19	16	28	25	18	16	23	15	1	10	41	44	41	43	46	55	45	56	56	67	60	55	52	41	37	39	27	19	20	25	29	26	9	0	1	4	4
4	2	7	26	40	28	21	19	19	18	18	17	15	22	26	23	20	25	14	2	10	47	45	49	58	47	50	48	61	75	65	50	47	43	35	31	29	25	23	23	24	22	19	6	0	3	2	5
4	5	7	29	33	26	41	29	18	19	18	23	24	23	19	27	24	24	10	1	10	42	49	52	60	55	46	48	67	66	64	55	47	34	29	25	24	19	18	23	18	8	5	1	0	2	3	3
5	2	7	32	30	24	32	25	18	16	19	27	32	18	8	19	23	15	3	0	9	42	55	52	53	54	54	54	45	48	54	65	54	38	31	35	33	23	14	14	5	3	0	0	0	1	3	3
4	3	6	23	26	24	23	23	20	18	18	24	25	9	1	3	7	4	1	1	10	48	62	59	62	49	50	43	47	59	63	67	62	48	46	41	32	20	7	2	0	0	0	1	0	1	4	4
5	5	4	12	31	30	26	22	21	18	29	40	22	3	0	1	1	1	0	2	26	78	68	80	64	74	51	52	54	58	59	63	64	62	57	42	31	19	3	1	0	1	0	0	0	2	2	5
4	5	5	5	22	26	19	14	18	18	30	22	9	1	0	0	0	1	1	9	47	69	79	68	84	64	66	59	47	47	57	62	65	68	56	35	20	8	1	0	0	0	0	0	0	1	3	5
4	2	4	1	3	6	2	4	8	7	7	5	0	0	0	1	0	0	4	25	67	69	69	86	73	77	79	67	59	66	66	64	49	55	39	14	4	1	0	1	0	0	1	0	0	1	2	5
4	3	3	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	12	50	65	74	82	77	82	95	88	74	61	58	52	47	1	1	14	1	2	0	0	0	0	0	1	0	0	2	4	4
3	3	3	0	0	2	0	0	0	1	0	1	0	0	0	1	1	2	14	39	73	76	80	91	101	104	84	77	49	26	26	35	6	2	1	0	0	0	0	0	2	0	1	0	0	1	4	4
4	2	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	7	30	55	65	67	65	74	100	96	96	55	9	3	7	4	0	0	0	0	0	0	2	0	0	0	0	0	1	3	5
3	3	4	4	5	4	4	3	3	2	3	4	5	4	4	5	5	4	7	15	21	22	18	15	20	41	78	80	33	8	4	2	2	3	4	4	3	1	2	3	4	4	4	2	2	1	3	5
3	3	4	4	4	3	5	5	4	3	2	3	3	3	3	5	3	3	6	4	4	5	4	3	3	7	9	10	6	5	4	4	4	5	2	3	5	3	5	3	3	5	2	5	6	3	6	3
0	4	5	3	4	5	5	5	3	5	5	7	4	4	5	4	5	4	5	4	4	5	4	3	3	4	3	3	3	6	6	5	3	6	5	6	4	4	4	5	4	5	5	4	7	6	7	0
