col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col
8;12;13;40;62;44;34;29;33;26;29;26;25;34;42;37;33;39;22;5;18;78;74;80;95;82;85;79;105;129;109;84;77;68;57;50;48;40;36;36;39;34;27;9;1;3;12;8
7;12;11;43;51;43;64;45;31;30;29;35;37;37;30;44;39;35;17;4;16;68;82;83;102;89;76;77;114;112;105;88;77;56;46;40;39;32;29;35;31;14;9;2;0;2;11;7
9;10;12;48;51;42;52;43;26;25;29;40;49;28;14;29;34;24;7;4;17;69;86;89;86;86;89;85;75;78;91;110;90;64;51;56;54;35;23;21;10;3;2;1;1;2;11;8
8;12;10;36;43;38;37;35;32;28;28;39;42;17;4;7;12;6;1;3;19;78;106;104;106;82;86;69;77;101;105;108;102;85;77;70;52;31;13;5;3;1;1;1;1;4;13;7
7;12;7;23;48;49;40;35;33;31;43;64;35;8;2;1;2;2;3;6;41;135;114;135;107;127;93;99;91;96;96;101;106;106;94;69;48;30;8;1;1;0;1;-1;0;3;12;8
8;12;5;9;34;42;30;25;28;28;48;36;17;3;2;2;1;2;3;18;76;122;136;117;148;113;109;101;79;79;92;103;95;121;92;56;34;16;2;-1;1;0;0;0;1;2;11;8
8;11;4;3;8;11;7;6;16;13;14;13;4;2;2;1;1;1;9;41;115;121;118;146;133;133;149;117;100;113;106;100;72;84;61;22;9;3;1;0;1;2;0;1;2;2;11;8
8;11;5;2;2;3;0;2;2;3;1;2;1;0;1;1;2;2;22;82;111;131;139;137;148;161;153;128;104;93;85;70;4;3;23;5;2;1;1;0;1;2;1;1;-2;3;11;7
8;13;6;1;0;1;1;2;2;2;1;2;0;0;1;0;3;5;25;58;126;130;143;162;180;185;148;132;84;42;42;51;10;6;4;1;2;0;2;0;0;0;0;0;0;2;11;8
8;13;3;0;0;0;0;2;1;1;0;1;2;0;1;1;0;4;15;49;93;111;121;111;129;165;158;171;91;19;9;15;11;2;1;0;0;0;0;0;0;0;0;0;0;1;11;8
10;13;8;6;5;6;5;5;5;5;3;5;7;5;7;7;7;9;13;23;35;39;31;27;37;71;129;131;58;16;6;6;5;3;3;4;4;2;3;3;5;5;3;3;3;2;11;9
7;12;11;10;10;10;10;11;9;10;18;12;9;10;10;10;11;10;12;12;12;12;12;14;15;15;18;18;16;12;11;12;11;10;10;11;9;16;12;11;10;9;10;10;12;10;11;7
0;6;7;7;9;8;8;6;7;6;6;5;6;7;6;7;5;7;6;8;14;14;14;14;14;14;14;15;6;8;6;7;8;8;7;6;7;7;7;8;8;8;8;8;10;7;7;0
