col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col
1;5;4;5;4;5;6;3;3;3;3;3;3;4;3;2;3;4;2;2;10;11;9;9;9;8;10;8;2;2;3;4;1;2;2;3;3;2;2;4;2;3;3;5;4;2;2;0
8;3;3;8;11;9;11;10;14;10;10;10;11;11;11;11;11;11;11;10;10;9;9;12;12;9;8;9;10;12;11;11;10;10;10;9;9;15;12;10;10;9;9;10;9;4;4;5
7;4;8;13;8;6;6;8;6;7;8;7;8;15;25;24;16;25;23;13;10;8;9;7;7;7;9;8;8;8;8;7;9;8;10;9;7;5;8;9;7;8;7;8;13;9;4;5
6;8;13;4;0;1;2;2;0;1;3;4;5;18;32;34;25;27;35;22;7;1;0;0;0;-1;2;0;1;2;1;0;1;5;13;13;7;7;14;11;7;12;16;11;14;23;9;7
6;11;6;1;1;-1;1;2;8;24;23;21;16;23;32;28;27;33;42;38;22;4;1;0;0;1;-1;-1;2;2;8;5;9;32;64;44;26;29;50;43;38;57;44;42;11;13;17;9
7;12;5;1;1;2;2;6;28;71;52;26;23;27;25;26;36;41;48;37;31;9;1;1;1;1;0;2;2;11;59;37;40;81;67;42;41;53;51;45;64;77;51;58;45;21;17;8
7;13;5;0;0;2;1;8;44;62;45;28;30;28;26;29;51;50;37;38;45;15;2;1;1;1;0;3;11;110;123;89;85;80;66;47;29;34;35;39;76;111;76;54;49;36;16;8
7;12;5;1;1;1;2;4;12;29;33;30;36;31;32;45;45;45;37;44;41;13;2;1;0;1;2;10;56;103;90;62;69;66;47;32;28;34;41;37;77;106;70;48;57;33;15;9
7;11;5;0;3;2;7;14;26;26;38;39;36;34;33;41;41;42;42;52;54;12;1;1;1;1;3;19;79;103;66;48;49;50;37;29;23;32;46;53;96;127;85;53;66;31;14;7
6;11;5;2;4;12;24;33;40;36;40;42;35;28;43;50;34;36;42;50;28;7;1;4;3;4;8;40;75;84;76;63;43;40;39;39;30;34;53;62;74;87;105;101;95;33;14;9
7;11;5;4;18;32;35;29;33;33;37;40;42;36;46;46;36;36;39;41;9;3;3;21;30;22;30;60;75;88;90;64;42;35;39;46;33;39;56;67;68;59;60;62;35;13;12;8
7;11;6;17;41;48;40;31;30;41;40;42;51;56;59;46;50;42;34;37;13;5;9;69;124;78;85;84;102;97;70;63;72;58;39;32;39;58;69;54;45;36;34;41;27;7;12;9
7;11;7;18;41;46;36;32;27;32;29;34;52;64;62;59;48;45;35;31;31;5;14;71;101;91;85;77;88;91;62;65;113;87;47;41;53;57;50;39;36;35;49;63;47;13;12;11
7;13;7;9;26;42;40;29;29;30;37;37;49;57;56;46;47;45;37;27;23;3;15;55;69;78;78;66;71;80;81;70;100;92;53;61;69;49;42;39;50;63;76;64;48;14;13;9
7;12;8;8;26;38;35;24;28;41;34;33;43;42;45;41;44;38;21;16;8;3;13;46;55;66;74;65;64;70;75;62;81;95;81;61;52;39;45;65;64;81;72;59;28;7;11;8
8;13;13;22;47;35;24;23;29;37;37;41;36;44;49;48;50;34;12;3;3;3;11;35;67;79;63;56;65;66;68;62;67;76;55;46;31;29;46;51;63;60;57;28;9;4;10;8
6;13;22;52;52;40;26;29;31;35;44;42;39;40;34;31;31;31;15;2;3;14;27;47;69;90;78;73;79;81;85;68;80;65;51;41;30;23;29;36;43;58;28;9;2;2;11;8
7;12;27;54;44;29;27;30;27;37;40;36;43;37;36;31;32;30;15;3;10;36;65;57;68;84;93;99;87;99;89;91;78;73;52;50;50;34;29;36;40;57;27;7;1;3;11;7
8;12;23;45;53;37;26;22;24;38;30;31;27;40;39;29;27;36;24;5;16;62;69;62;67;74;90;77;92;97;112;98;94;87;69;58;63;42;32;33;40;48;42;13;2;3;11;7
